# step cn bias_eV energy_eV temperature_K
231500 0.035581 6.2613064939e-01 -275289.156250 279.85
232000 0.030090 6.1665191667e-01 -275289.062500 310.16
232500 0.033638 6.2895108129e-01 -275289.843750 305.42
233000 0.037891 6.4267056526e-01 -275287.781250 285.14
233500 0.035595 6.4076450756e-01 -275289.125000 282.45
234000 0.028252 6.2663708280e-01 -275290.187500 302.81
234500 0.058455 6.9935833900e-01 -275288.906250 296.57
235000 0.098511 7.7679426433e-01 -275289.343750 272.11
235500 0.079824 7.4715991954e-01 -275287.875000 287.66
236000 0.039547 6.6500329693e-01 -275288.843750 302.04
236500 0.046865 6.8515449891e-01 -275288.968750 324.51
237000 0.043913 6.8154905547e-01 -275288.000000 306.60
237500 0.040111 6.7589322008e-01 -275288.468750 304.64
238000 0.047677 6.9645934898e-01 -275287.343750 330.00
238500 0.053538 7.1246857167e-01 -275287.406250 294.23
